feature	c__Chloroplast Class	d__Bacteria Kingdom	f__Borkfalkiaceae Family	f__Christensenellaceae Family	f__Clostridiaceae_222000 Family	f__Coprobacillaceae Family	f__Eggerthellaceae Family	f__Lachnospiraceae Family	f__Muribaculaceae Family	f__Oscillospiraceae_88309 Family	f__Peptostreptococcaceae_256921 Family	g__1XD8-76	g__Acetatifactor	g__Acidovorax_F_589733	g__Acutalibacter	g__Adlercreutzia_A_404199	g__Adlercreutzia_A_404257	g__Adlercreutzia_A_404260	g__Akkermansia	g__Alistipes_A_871400	g__Anaerotruncus	g__Avispirillum	g__Bacteroides_H_857956	g__Bifidobacterium_388775	g__Borkfalkia	g__Brotaphodocola	g__Butyribacter	g__C-19	g__CAG-269	g__CAG-314	g__CAG-873	g__COE1	g__Choladousia	g__Clostridium_AQ	g__Clostridium_J	g__Clostridium_T	g__Comamonas_F_589250	g__Dorea_D_143701	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Emergencia	g__Enterenecus	g__Enterocloster	g__Enterococcus_B	g__Enterococcus_H_360604	g__Enterorhabdus	g__Eubacterium_F	g__Eubacterium_G_180878	g__Eubacterium_R	g__Faecalibaculum	g__Granulimonas	g__Hominilimicola	g__Hominisplanchenecus_A	g__Ileibacterium	g__Kineothrix	g__Lachnoclostridium_B	g__Lacrimispora	g__Lactobacillus	g__Laedolimicola	g__Lawsonibacter	g__Lepagella	g__Lientehia	g__Ligilactobacillus	g__Limosilactobacillus	g__MD308	g__Merdibacter	g__Mesorhizobium_I	g__NK4A144	g__Novosphingobium	g__Paraclostridium	g__Parasutterella_564865	g__Parvibacter	g__Pelethenecus	g__Petralouisia	g__Porcincola	g__Pseudomonas_E_647464	g__Romboutsia_B	g__Romboutsia_D_247318	g__Ruminococcus_B	g__Schaedlerella	g__Sporofaciens	g__Staphylococcus	g__Stenotrophomonas_A_615274	g__Streptococcus	g__Suilimivivens	g__Thomasclavelia	g__Turicibacter	g__UBA2730	g__UBA3282	g__UBA7173	g__UBA9414	g__UBA946	g__Ventrisoma	g__WRAF01	o__Christensenellales Order	o__Lachnospirales Order
Villapol_11_DPI_562	NA	NA	NA	NA	NA	NA	NA	NA	-7.63432213381515	NA	NA	NA	NA	-14.716471175169	NA	NA	-7.90911625311142	NA	-10.0726149853943	NA	NA	NA	-12.1315086744479	NA	NA	NA	NA	NA	NA	NA	-8.03699107566358	NA	NA	NA	NA	NA	-10.4310689563068	NA	-12.0160314570279	-5.6571267143446	NA	NA	NA	NA	NA	NA	NA	-13.1315086744479	NA	NA	-7.53656208515409	NA	NA	NA	NA	NA	NA	NA	-0.41511788495019	NA	NA	-9.32415375239026	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.50701780954008	NA	NA	NA	NA	NA	-12.5465461737267	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.27599127635781	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_563	NA	NA	NA	NA	NA	NA	NA	-7.08736551639174	-5.18666485690242	-8.85554984116867	NA	-11.2705873404475	-5.57942543589443	NA	-8.36369674483899	NA	-9.76808699991833	-9.39611822253137	-5.84432258574541	-2.59816199847602	-11.2705873404475	-11.2705873404475	-3.33296830991384	NA	-11.0481949191111	NA	-7.41260634531994	-11.5336217462813	-9.39611822253137	-9.21169365139394	-6.05464994124836	-6.33198788511165	NA	NA	NA	NA	NA	NA	NA	-3.70073173211656	-9.04819491911106	NA	-8.42928508646657	NA	NA	NA	NA	-8.57014762230642	-7.81115572181021	NA	NA	NA	NA	-10.5336217462813	NA	-9.60762232772508	-10.1551101230276	NA	-1.06581244010152	-10.0481949191111	-9.94865924556015	-7.68562483972635	NA	NA	NA	-8.24083999705346	NA	NA	-10.5336217462813	NA	NA	NA	NA	-7.14130432350254	-7.41260634531994	-6.76808699991833	NA	NA	NA	NA	-8.7262668242237	-8.90135353078179	NA	NA	NA	-9.68562483972635	NA	NA	NA	-7.18312449919717	NA	NA	-10.5336217462813	NA	-12.8555498411687	NA	NA
Villapol_11_DPI_564	NA	NA	NA	NA	-13.0622148246591	NA	NA	NA	-5.78609041938487	NA	-6.17144389441387	NA	NA	NA	NA	-7.71643998781738	-9.36177510651802	NA	-3.74480221089424	NA	NA	NA	-11.477252323938	-7.76453427601842	NA	NA	NA	NA	NA	NA	-3.5178943084353	NA	NA	NA	NA	-5.32299677876152	NA	NA	-12.6471773253803	-5.55178030258771	NA	NA	NA	NA	NA	NA	-10.7402867297717	-11.3252492304929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.0622148246591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.46478297197574	NA	NA	NA	NA	NA	-1.7762347187309	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.20916523772913	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_565	NA	NA	NA	NA	-13.0072609206382	NA	NA	NA	NA	NA	-5.09636839447223	NA	NA	-13.0072609206382	NA	NA	NA	NA	-7.90572289417618	-10.3442959079158	NA	NA	-11.0072609206382	NA	NA	NA	NA	NA	NA	NA	-8.56985560833095	NA	NA	NA	NA	-4.77844223014237	-8.40239886247939	NA	NA	-7.24349526712833	NA	NA	NA	NA	NA	-13.0072609206382	NA	NA	NA	NA	-10.7848684993018	NA	NA	NA	NA	NA	NA	NA	-11.5922234213594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.0072609206382	NA	-10.6853328257509	NA	NA	NA	NA	NA	-1.19990599858064	NA	NA	NA	NA	NA	-12.0072609206382	NA	NA	NA	-1.06242687125994	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_566	NA	NA	NA	NA	NA	NA	NA	-6.56646674117179	-5.20341391289823	-8.05886312315688	NA	NA	-5.50271431994046	NA	-8.21358571795552	-9.7715811710764	-10.0346155769102	-10.0346155769102	-12.9415061725187	-3.28687014399075	NA	NA	-2.71088523938885	NA	-11.1341512504611	NA	-4.24453864628443	NA	NA	-8.4179442164617	-4.00781551756648	-5.45769039525446	-11.6195780776314	NA	NA	NA	NA	NA	-5.05886312315688	-5.46172590848962	-9.0346155769102	NA	-10.0346155769102	NA	NA	NA	NA	NA	-8.08352517739115	NA	NA	NA	NA	NA	NA	-10.9415061725187	NA	NA	-1.71871126965061	NA	NA	-8.65610395365647	NA	NA	NA	-10.6195780776314	NA	NA	-8.73205280688977	NA	NA	NA	NA	-9.4179442164617	-8.24106645437763	NA	NA	-9.54918874973996	NA	NA	-10.9415061725187	-8.7715811710764	NA	NA	NA	-12.9415061725187	NA	-2.76035391565315	NA	-8.35654367179756	NA	NA	NA	NA	-11.3565436717976	-9.48207455388142	NA
Villapol_11_DPI_567	NA	NA	NA	NA	NA	NA	NA	-10.03351181283	-6.66127863609454	NA	-8.56144336851475	NA	NA	-13.9877081232168	NA	-10.2328206210534	-10.9002452819665	-11.0808175276083	-9.66578002832948	-11.1803532011592	NA	NA	-9.63015611859876	-8.96534031018839	NA	NA	-9.98770812321685	NA	NA	NA	-7.12352197856257	-8.96534031018839	NA	NA	NA	NA	-10.2872684050758	NA	-2.73592986618098	-5.4159554797133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.7397806097733	NA	NA	NA	NA	NA	NA	-4.87918366643868	NA	-13.4027456224957	-10.2328206210534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.9877081232168	NA	NA	NA	-4.75049816246182	NA	NA	NA	NA	-11.1803532011592	NA	NA	NA	NA	-0.470961626796845	NA	-11.1803532011592	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_568	-11.6859532848139	NA	NA	NA	NA	-11.5160282833716	NA	-8.11609767648297	-5.20213750754966	-12.3640251899266	-5.81250917229854	NA	-8.75521594725103	-13.6859532848139	NA	-8.66358547178546	-6.85306327064918	-9.98551356667283	-12.3640251899266	-10.1009907840928	-13.6859532848139	NA	-9.82797228968635	-8.29363586203516	NA	NA	NA	NA	NA	NA	-6.19811325099087	-5.8947903962589	-12.1009907840928	NA	NA	-11.3640251899266	-9.32840128019583	NA	-1.06435924579638	-4.52482140182961	NA	NA	NA	NA	NA	-8.51602828337161	-10.1009907840928	NA	-12.3640251899266	NA	NA	-6.90459357128926	-12.1009907840928	NA	NA	-12.6859532848139	NA	NA	NA	NA	-11.1009907840928	NA	NA	NA	NA	NA	NA	NA	-12.6859532848139	-11.1009907840928	NA	-5.89805072542249	NA	NA	-6.30224899233987	NA	-8.708673361314	-1.91260799352265	NA	NA	NA	-8.82797228968635	NA	-13.1009907840928	NA	NA	NA	-4.01441221810203	NA	-10.1009907840928	NA	NA	NA	NA	NA	-11.8785983627563	NA
Villapol_11_DPI_569	NA	NA	NA	NA	NA	-11.3629711636053	NA	-9.77800866288414	-3.44933373555619	NA	-7.27550832235496	NA	NA	NA	NA	-8.48032811424345	-6.35174390818204	-9.97065374082653	NA	-6.74826131949009	NA	NA	-10.7780086628841	-10.275508322355	NA	NA	NA	NA	NA	NA	-3.8502307008018	NA	NA	NA	NA	NA	-10.6625314454642	NA	-0.986167465491157	-3.37712922660196	NA	NA	NA	NA	NA	NA	-9.71911497383057	-6.83940920754828	-8.87111806727562	NA	NA	-7.9367064089032	NA	NA	NA	-10.1150436501617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.3629711636053	NA	-4.14017626073719	NA	NA	-8.60808366144183	NA	NA	-3.26955359921733	-9.40877485321842	NA	-11.3629711636053	-7.28615556655446	NA	NA	NA	NA	NA	-6.12935148684559	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_570	NA	NA	NA	NA	NA	NA	NA	NA	-8.1316333216313	NA	-9.61080115832986	NA	NA	NA	NA	-10.4072677642447	-7.83501631527313	-9.22893052298622	-9.70099896730144	NA	NA	NA	NA	-8.95475555954723	NA	NA	NA	NA	-12.0702327769672	NA	-5.85753375183456	NA	NA	NA	NA	-10.485270276246	NA	NA	-2.18860893996907	-4.65660484794299	NA	NA	NA	NA	NA	NA	-10.0113390879136	-13.0702327769672	NA	NA	NA	-7.54667082091015	NA	NA	NA	NA	NA	NA	-0.948699259627129	NA	NA	-9.44574191205937	NA	-13.6551952776883	NA	NA	NA	NA	NA	NA	NA	-10.9547555595472	NA	NA	NA	NA	NA	-5.33552315674132	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.67434167130858	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_571	NA	NA	NA	NA	NA	NA	NA	NA	-8.01197820280252	NA	-7.38458043576096	NA	NA	NA	NA	-10.99060455201	-8.66867645712259	-9.75613929837293	-10.1711767976518	NA	NA	NA	-12.0780673932603	-8.75613929837293	NA	NA	NA	NA	NA	NA	-6.40211036031854	NA	NA	NA	NA	-9.94878437631532	-13.4931048925391	NA	-2.53020888720187	-5.1108411344243	NA	NA	NA	NA	NA	NA	-10.6857499704815	NA	NA	NA	NA	-9.01197820280252	NA	NA	NA	NA	NA	NA	-1.27878577173837	NA	NA	-8.81128085256539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.26428620204325	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.01939914291972	NA	NA	NA	NA	NA	NA	NA	NA	NA
