feature	f__Acutalibacteraceae Family	f__Christensenellaceae Family	f__Coprobacillaceae Family	f__Dehalobacteriaceae Family	f__Lachnospiraceae Family	f__Muribaculaceae Family	f__Oscillospiraceae_88309 Family	f__Peptostreptococcaceae_256921 Family	f__UBA1242 Family	g__Acutalibacter	g__Adlercreutzia_A_404199	g__Adlercreutzia_A_404257	g__Adlercreutzia_A_404260	g__Akkermansia	g__Alistipes_A_871400	g__Anaerocolumna	g__Anaerosporobacter	g__Bacteroides_H_857956	g__Bifidobacterium_388775	g__Blautia_A_141780	g__Borkfalkia	g__C-19	g__CAG-314	g__CAG-873	g__COE1	g__Cellulosilyticum	g__Choladousia	g__Clostridioides_A	g__Clostridium_F	g__Clostridium_J	g__Clostridium_T	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Emergencia	g__Enterocloster	g__Enterococcus_H_360604	g__Enterorhabdus	g__Eubacterium_G_180878	g__Eubacterium_R	g__Evtepia	g__Faecalibaculum	g__Granulimonas	g__Hominilimicola	g__Hominisplanchenecus_A	g__Kineothrix	g__Klebsiella_724518	g__Lachnoclostridium_A_184689	g__Lachnotalea	g__Lacrimispora	g__Lactobacillus	g__Laedolimicola	g__Lawsonibacter	g__Lepagella	g__Lientehia	g__Ligilactobacillus	g__Limosilactobacillus	g__Lysinibacillus_304693	g__MD308	g__Merdibacter	g__Paenibacillus_A	g__Pandoraea	g__Paraclostridium	g__Parasutterella_564865	g__Petralouisia	g__Porcincola	g__Robinsoniella	g__Romboutsia_B	g__Romboutsia_D_247318	g__Romboutsia_E	g__Schaedlerella	g__Solibaculum	g__Sporofaciens	g__Stenotrophomonas_A_615274	g__Terrisporobacter	g__Thomasclavelia	g__Turicibacter	g__UBA5905	o__Lachnospirales Order
Villapol_589_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.3108531602752	NA	NA	NA	-0.448913197015839	-8.71221057016548	NA	NA	NA	NA	NA	NA	-5.77712804684682	NA	NA	-11.87063993277	-10.1234060031499	-5.69215291782423	NA	NA	NA	NA	NA	-6.27711541854538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.63223519344489	NA	NA	NA	NA	NA	NA	-8.03413866505284	-5.17317586719473	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.1544328987706	NA	NA	NA	NA	NA
Villapol_592_3DPI	NA	NA	-9.54016679414055	NA	NA	-10.2298266735284	NA	NA	NA	NA	NA	NA	-13.1840229839153	-2.76485281888673	-9.13962886455682	NA	NA	-0.545756782114886	-11.5990604831941	NA	NA	NA	NA	-8.91723644322037	NA	NA	-10.4835832657742	NA	NA	-9.54016679414055	-5.64292636856575	-6.20960839410975	-5.35747449662436	NA	NA	NA	-4.45440224036223	-11.4835832657742	-11.2771323883068	-7.90789857864103	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.6217805596942	-12.8620948890279	NA	NA	-11.4835832657742	NA	NA	NA	NA	NA	NA	NA	NA	-7.71641743383227	-5.96002130971717	NA	NA	NA	-9.93609547047169	-13.5990604831941	NA	NA	NA	NA	NA	NA	NA	-5.41583865913835	NA	NA
Villapol_593_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.61001273480293	NA	NA	NA	-0.305974280333947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.31925065203867	NA	NA	NA	NA	NA	-4.7360725609957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.66334223720906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.18699851480125	NA	NA	NA	NA	-8.90599756243801	NA	NA	NA	NA	NA	NA	NA	NA	-3.6176682412967	NA	NA
Villapol_597_3DPI	NA	-4.96317576908997	-4.64053187411802	NA	-9.33240957875569	-11.2958837027306	-11.0328492968968	NA	NA	-11.0328492968968	-14.6178117976179	NA	-11.6178117976179	-2.20974747770326	-8.09424984156092	NA	NA	-0.926722611381402	NA	NA	-9.33240957875569	NA	-8.81045687556033	-9.09424984156092	NA	NA	-10.9173720794768	NA	NA	NA	NA	-6.47826044521914	-3.19154704291584	-7.95960031486614	NA	-7.45794046083954	NA	NA	-9.97395560784321	NA	-12.2958837027306	NA	NA	NA	NA	NA	NA	NA	NA	-11.1583801789806	NA	-6.71092120200942	-10.8104568755603	-9.40835843198898	-10.4478867961756	NA	NA	NA	NA	NA	NA	NA	NA	-5.42798723873792	NA	-10.9173720794768	NA	-10.5303489563676	NA	NA	NA	-9.53034895636759	-10.2958837027306	NA	NA	NA	-11.0328492968968	NA	-10.8104568755603
Villapol_606_3DPI	-12.7470390710955	NA	NA	NA	NA	-8.38948706647738	NA	NA	NA	NA	-9.70264495173702	NA	-11.1620765703743	-3.69107883664317	-7.58716773431708	NA	NA	-0.602141885754819	-8.96567935757081	NA	NA	NA	NA	-5.89217068783523	NA	NA	-7.8890580759679	NA	NA	NA	NA	-3.66023938547202	-5.59983414615324	NA	NA	NA	-7.23924443089677	-10.2234771150385	NA	NA	NA	-4.85981845562708	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.84014847548695	NA	-8.84014847548695	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.14712622890834	NA	NA	NA	NA	NA	NA	NA	NA	-9.79284276070859	NA	NA	-4.80599146475489	-5.9109887160374	NA	NA
Villapol_612_3DPI	NA	NA	-5.71090296840196	NA	-5.49236802273503	NA	NA	NA	NA	NA	-9.20444244135953	NA	-11.867407454082	-3.31345823666037	-10.867407454082	NA	NA	-0.982600966243411	-11.867407454082	NA	NA	NA	NA	-6.16696773594086	NA	NA	-9.40797583544466	NA	-11.1304418599157	NA	NA	-3.95053276990081	-6.2824449533608	NA	NA	NA	NA	NA	-7.8230133347235	-7.55755219149517	NA	-2.8645924384749	NA	NA	NA	-10.867407454082	NA	NA	NA	NA	NA	-9.69748245263964	-12.4523699548031	-7.3334288820796	NA	-5.95651492791594	NA	NA	NA	NA	NA	NA	NA	-5.20444244135953	NA	NA	-4.82119289909913	NA	NA	NA	-11.1304418599157	NA	-10.9929383361658	NA	NA	-8.8376601106879	-12.1304418599157	NA	NA
Villapol_614_3DPI	NA	NA	-6.125910146579	NA	-7.24138736399894	NA	NA	-11.5044217698327	NA	NA	-8.25649425638914	-11.3669182460828	-10.125910146579	-2.13090405418271	NA	NA	NA	-1.4402179274051	-7.46879786010201	NA	-12.2413873639989	NA	-12.2413873639989	-5.71000590348262	NA	NA	-7.30278790866308	NA	NA	NA	-12.5044217698327	-2.60234819052199	-6.04499015119543	NA	-9.82634986472009	NA	-11.0189949426625	-10.1824936749454	-7.28719105361206	-7.65642486327778	NA	-4.16635397229012	NA	-6.33850983089704	NA	-12.0189949426625	NA	NA	NA	NA	NA	NA	-11.6564248632778	-8.65642486327778	NA	-7.43403244194133	NA	NA	NA	NA	NA	NA	NA	-5.21717112657811	-9.43403244194133	-12.8263498647201	NA	-7.64644077470516	NA	NA	NA	-12.0189949426625	-10.7388870234698	NA	NA	NA	-4.63159301029784	NA	-11.125910146579
Villapol_616_3DPI	NA	-12.2448097766132	NA	NA	-6.90495977372856	NA	-11.9228816817258	NA	NA	NA	NA	NA	NA	-3.45527613164282	-9.48992227444971	NA	NA	-1.47146448532191	NA	NA	NA	NA	-10.2448097766132	NA	NA	NA	NA	NA	NA	NA	NA	-1.23445651106393	-7.02564125615102	-8.57238443464169	NA	-9.60095358683846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.15734693536284	-7.97802323591828	-6.80186628076445	-10.0748847751709	-5.18411384492563	NA	NA	NA	NA	NA	NA	NA	-5.05251696214242	NA	NA	NA	-8.17872058615541	NA	NA	NA	NA	NA	NA	NA	NA	-8.81854502191108	NA	NA
Villapol_618_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.22637063969223	NA	NA	NA	-0.538251071554883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.54369683262058	-7.00859484642615	-11.0834300793487	NA	NA	NA	NA	-7.39952572893395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.5903900680686	NA	-2.36994809440268	NA	NA	NA	NA	NA	NA	NA	-5.19807264528986	NA	NA	NA	-13.0309626594546	NA	NA	NA	NA	NA	NA	-4.69238543569169	-7.02133395825683	-11.5163894866248	NA	NA
Villapol_619_3DPI	NA	NA	NA	NA	NA	NA	NA	-9.55969574211073	NA	NA	-9.55969574211073	NA	NA	-3.74036817838705	NA	-10.3791234964689	NA	-0.425697330847672	-8.02364284187052	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.0071547190819	-9.04032158301715	-5.35545066748454	NA	-5.797701353453	NA	NA	NA	-5.98277056045499	NA	-8.33730332077428	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.88162383699809	NA	NA	NA	-9.88162383699809	NA	NA	-4.91199748604161	NA	NA	NA	NA	-9.65923141566164	NA	-8.181184118857	-4.46940685678162	NA	NA	-5.93520487720293	NA	NA	-10.4665863377192	-8.42219221836079	NA	NA	NA	-10.0742689149405	NA	NA	NA	NA
Villapol_620_3DPI	NA	NA	NA	NA	NA	NA	NA	-9.99037674175937	NA	NA	NA	-11.3688883650131	NA	-2.95610683967462	NA	-7.73662014951358	NA	-0.4555501271436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.21508302893406	-5.89640059355035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.56540298941714	NA	NA	NA	NA	-10.6033536186501	-8.69081645990046	NA	-5.2354892395959	NA	NA	NA	NA	NA	-10.6908164599005	NA	NA	NA	NA	-9.93592895773699	NA	NA	NA	NA
Villapol_621_3DPI	-12.8824520018821	NA	-4.5455735655288	NA	-11.6600595805457	NA	-10.0750970798245	NA	-9.07509707982453	NA	NA	-9.7669747844622	NA	-2.19041776330617	NA	NA	-8.94385254654628	-0.801079527526615	NA	NA	NA	-8.63452448843855	-6.71252700043982	NA	NA	NA	-10.7669747844622	-8.7669747844622	NA	NA	NA	-9.10986249798521	-3.8508656588243	-8.7669747844622	NA	-7.73949404804009	NA	-11.8824520018821	-9.29748950116098	NA	NA	NA	NA	NA	-8.71252700043982	NA	NA	NA	NA	NA	NA	-11.6600595805457	-7.68605478907863	-7.37995166135295	-9.42302038324484	-7.71252700043982	NA	NA	NA	NA	NA	NA	NA	-4.61722766495752	NA	-9.21948698915971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.4674145026033	NA
Villapol_622_3DPI	NA	NA	NA	NA	-6.86941589018986	NA	NA	NA	NA	NA	NA	NA	NA	-3.01526675665331	NA	NA	NA	-0.592575684831032	NA	NA	NA	NA	-8.76250068627334	NA	NA	NA	NA	NA	-10.2479275134436	NA	NA	-7.56985560833095	-5.19481617698402	NA	NA	NA	-5.95514576421574	NA	NA	NA	NA	-9.24792751344359	NA	NA	NA	NA	NA	NA	-5.24792751344359	NA	NA	NA	NA	-9.98489310760979	NA	-3.42010848882627	NA	NA	NA	NA	NA	NA	NA	-5.14359085362885	NA	NA	NA	NA	NA	NA	-8.86941589018986	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_623_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.25968711415379	-13.0241440777737	NA	NA	-0.496239506973979	NA	NA	NA	-12.7022159828863	NA	-9.11725348216517	NA	NA	NA	NA	NA	NA	NA	-4.00385857692904	-9.93668123652335	NA	-12.4391815770525	NA	-5.71808238834534	NA	NA	NA	NA	-4.90650097638459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.1661630826461	NA	-4.75852903128923	NA	NA	NA	NA	NA	NA	NA	-5.45239143427014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.95805488731591	NA	NA	NA
