"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Timepoint"	3	3.00228062463097	0.295117389504146	18.2821827111739	0.001
"Residual"	131	7.17089361520413	0.704882610495852	NA	NA
"Total"	134	10.1731742398351	1	NA	NA
