"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Timepoint"	3	3.86002348116529	0.383980199973371	29.2962489159737	0.001
"Residual"	141	6.19263934215992	0.616019800026628	NA	NA
"Total"	144	10.0526628233252	1	NA	NA
