sample	MouseID	Genotype	Treatment	Sex	Timepoint	Injury
Villapol_538_1DPI	538	HEMI	VEH	M	1DPI	TBI
Villapol_538_3DPI	538	HEMI	VEH	M	3DPI	TBI
Villapol_538_BA	538	HEMI	VEH	M	BA	TBI
Villapol_539_1DPI	539	HEMI	VEH	M	1DPI	TBI
Villapol_539_3DPI	539	HEMI	VEH	M	3DPI	TBI
Villapol_539_BA	539	HEMI	VEH	M	BA	TBI
Villapol_540_1DPI	540	HEMI	FMT	M	1DPI	TBI
Villapol_540_3DPI	540	HEMI	FMT	M	3DPI	TBI
Villapol_540_BA	540	HEMI	FMT	M	BA	TBI
Villapol_541_1DPI	541	HEMI	FMT	M	1DPI	TBI
Villapol_541_3DPI	541	HEMI	FMT	M	3DPI	TBI
Villapol_541_BA	541	HEMI	FMT	M	BA	TBI
Villapol_542_1DPI	542	HEMI	VEH	M	1DPI	Sham
Villapol_543_1DPI	543	HEMI	VEH	M	1DPI	Sham
Villapol_544_1DPI	544	HEMI	FMT	M	1DPI	Sham
Villapol_545_1DPI	545	HEMI	FMT	M	1DPI	Sham
Villapol_546_1DPI	546	WT	VEH	M	1DPI	TBI
Villapol_546_3DPI	546	WT	VEH	M	3DPI	TBI
Villapol_546_BA	546	WT	VEH	M	BA	TBI
Villapol_547_1DPI	547	WT	VEH	M	1DPI	TBI
Villapol_547_3DPI	547	WT	VEH	M	3DPI	TBI
Villapol_547_BA	547	WT	VEH	M	BA	TBI
Villapol_548_1DPI	548	WT	FMT	M	1DPI	TBI
Villapol_548_3DPI	548	WT	FMT	M	3DPI	TBI
Villapol_548_BA	548	WT	FMT	M	BA	TBI
Villapol_549_1DPI	549	WT	FMT	M	1DPI	TBI
Villapol_549_3DPI	549	WT	FMT	M	3DPI	TBI
Villapol_549_BA	549	WT	FMT	M	BA	TBI
Villapol_550_1DPI	550	WT	VEH	F	1DPI	Sham
Villapol_550_3DPI	550	WT	VEH	F	3DPI	Sham
Villapol_550_BA	550	WT	VEH	F	BA	Sham
Villapol_551_1DPI	551	WT	VEH	F	1DPI	Sham
Villapol_552_1DPI	552	WT	VEH	F	1DPI	Sham
Villapol_553_1DPI	553	WT	FMT	F	1DPI	Sham
Villapol_553_3DPI	553	WT	FMT	F	3DPI	Sham
Villapol_553_BA	553	WT	FMT	F	BA	Sham
Villapol_554_1DPI	554	WT	FMT	F	1DPI	Sham
Villapol_555_1DPI	555	HEMI	FMT	F	1DPI	Sham
Villapol_556_1DPI	556	HEMI	FMT	F	1DPI	Sham
Villapol_557_1DPI	557	HEMI	FMT	F	1DPI	Sham
Villapol_557_3DPI	557	HEMI	FMT	F	3DPI	Sham
Villapol_557_BA	557	HEMI	FMT	F	BA	Sham
Villapol_558_1DPI	558	WT	VEH	M	1DPI	Sham
Villapol_559_1DPI	559	WT	VEH	M	1DPI	Sham
Villapol_560_1DPI	560	WT	FMT	M	1DPI	Sham
Villapol_560_3DPI	560	WT	FMT	M	3DPI	Sham
Villapol_560_BA	560	WT	FMT	M	BA	Sham
Villapol_561_1DPI	561	WT	FMT	M	1DPI	Sham
Villapol_562_1DPI	562	HEMI	FMT	F	1DPI	TBI
Villapol_562_3DPI	562	HEMI	FMT	F	3DPI	TBI
Villapol_562_BA	562	HEMI	FMT	F	BA	TBI
Villapol_563_1DPI	563	HEMI	FMT	F	1DPI	TBI
Villapol_563_3DPI	563	HEMI	FMT	F	3DPI	TBI
Villapol_563_BA	563	HEMI	FMT	F	BA	TBI
Villapol_564_1DPI	564	HEMI	VEH	F	1DPI	TBI
Villapol_565_1DPI	565	HEMI	VEH	F	1DPI	TBI
Villapol_566_1DPI	566	HEMI	FMT	M	1DPI	Sham
Villapol_567_1DPI	567	HEMI	FMT	M	1DPI	Sham
Villapol_568_1DPI	568	HEMI	VEH	M	1DPI	Sham
Villapol_569_1DPI	569	HEMI	VEH	M	1DPI	Sham
Villapol_570_1DPI	570	WT	FMT	F	1DPI	Sham
Villapol_571_1DPI	571	WT	FMT	F	1DPI	Sham
Villapol_572_1DPI	572	WT	FMT	F	1DPI	Sham
Villapol_573_1DPI	573	WT	VEH	F	1DPI	Sham
Villapol_574_1DPI	574	WT	VEH	F	1DPI	Sham
Villapol_575_1DPI	575	WT	FMT	M	1DPI	Sham
Villapol_576_1DPI	576	WT	FMT	M	1DPI	Sham
Villapol_577_1DPI	577	WT	FMT	M	1DPI	Sham
Villapol_578_1DPI	578	WT	VEH	M	1DPI	Sham
Villapol_579_1DPI	579	WT	VEH	M	1DPI	Sham
Villapol_580_1DPI	580	HEMI	VEH	F	1DPI	Sham
Villapol_581_1DPI	581	HEMI	VEH	F	1DPI	Sham
Villapol_582_1DPI	582	HEMI	VEH	F	1DPI	Sham
Villapol_583_1DPI	583	HEMI	FMT	F	1DPI	Sham
Villapol_584_1DPI	584	HEMI	FMT	F	1DPI	Sham
Villapol_585_1DPI	585	HEMI	FMT	M	1DPI	TBI
Villapol_586_1DPI	586	HEMI	FMT	M	1DPI	TBI
Villapol_587_1DPI	587	HEMI	FMT	M	1DPI	TBI
Villapol_587_3DPI	587	HEMI	FMT	M	3DPI	TBI
Villapol_587_BA	587	HEMI	FMT	M	BA	TBI
Villapol_588_1DPI	588	HEMI	VEH	M	1DPI	TBI
Villapol_589_1DPI	589	HEMI	VEH	M	1DPI	TBI
Villapol_589_3DPI	589	HEMI	VEH	M	3DPI	TBI
Villapol_589_BA	589	HEMI	VEH	M	BA	TBI
Villapol_590_1DPI	590	WT	FMT	F	1DPI	TBI
Villapol_591_1DPI	591	WT	FMT	F	1DPI	TBI
Villapol_592_1DPI	592	WT	FMT	F	1DPI	TBI
Villapol_592_3DPI	592	WT	FMT	F	3DPI	TBI
Villapol_592_BA	592	WT	FMT	F	BA	TBI
Villapol_593_1DPI	593	WT	VEH	F	1DPI	TBI
Villapol_593_3DPI	593	WT	VEH	F	3DPI	TBI
Villapol_593_BA	593	WT	VEH	F	BA	TBI
Villapol_594_1DPI	594	WT	VEH	F	1DPI	TBI
Villapol_595_1DPI	595	WT	FMT	M	1DPI	TBI
Villapol_596_1DPI	596	WT	FMT	M	1DPI	TBI
Villapol_597_1DPI	597	WT	FMT	M	1DPI	TBI
Villapol_597_3DPI	597	WT	FMT	M	3DPI	TBI
Villapol_597_BA	597	WT	FMT	M	BA	TBI
Villapol_598_1DPI	598	WT	VEH	M	1DPI	TBI
Villapol_599_1DPI	599	WT	VEH	M	1DPI	TBI
Villapol_600_1DPI	600	HEMI	VEH	M	1DPI	TBI
Villapol_601_1DPI	601	HEMI	VEH	M	1DPI	TBI
Villapol_602_1DPI	602	HEMI	FMT	M	1DPI	TBI
Villapol_603_1DPI	603	HEMI	FMT	M	1DPI	TBI
Villapol_604_1DPI	604	WT	VEH	M	1DPI	TBI
Villapol_605_1DPI	605	WT	VEH	M	1DPI	TBI
Villapol_606_1DPI	606	WT	FMT	M	1DPI	TBI
Villapol_606_3DPI	606	WT	FMT	M	3DPI	TBI
Villapol_606_BA	606	WT	FMT	M	BA	TBI
Villapol_607_1DPI	607	WT	FMT	M	1DPI	TBI
Villapol_608_1DPI	608	WT	FMT	M	1DPI	TBI
Villapol_609_1DPI	609	HEMI	VEH	F	1DPI	TBI
Villapol_610_1DPI	610	HEMI	VEH	F	1DPI	TBI
Villapol_611_1DPI	611	HEMI	FMT	F	1DPI	TBI
Villapol_612_1DPI	612	HEMI	FMT	F	1DPI	TBI
Villapol_612_3DPI	612	HEMI	FMT	F	3DPI	TBI
Villapol_612_BA	612	HEMI	FMT	F	BA	TBI
Villapol_613_1DPI	613	HEMI	FMT	F	1DPI	TBI
Villapol_614_1DPI	614	WT	FMT	F	1DPI	TBI
Villapol_614_3DPI	614	WT	FMT	F	3DPI	TBI
Villapol_614_BA	614	WT	FMT	F	BA	TBI
Villapol_615_1DPI	615	WT	FMT	F	1DPI	TBI
Villapol_616_1DPI	616	WT	VEH	F	1DPI	TBI
