"","MouseID","Genotype","Treatment","Timepoint","Sex","Injury","shannon_unique"
"97",538,"HEMI","VEH","BA","M","TBI",2.15365299096679
"98",539,"HEMI","VEH","1DPI","M","TBI",0.959525075915524
"99",539,"HEMI","VEH","3DPI","M","TBI",1.46993871624091
"100",539,"HEMI","VEH","BA","M","TBI",2.17836428405758
"101",540,"HEMI","FMT","1DPI","M","TBI",1.04747293736692
"102",540,"HEMI","FMT","3DPI","M","TBI",1.60799011479647
"103",540,"HEMI","FMT","BA","M","TBI",2.22962890403058
"104",541,"HEMI","FMT","1DPI","M","TBI",1.38243428875624
"105",541,"HEMI","FMT","3DPI","M","TBI",1.24871012382595
"106",541,"HEMI","FMT","BA","M","TBI",2.06880308313631
"107",542,"HEMI","VEH","1DPI","M","Sham",0.23586164928037
"108",543,"HEMI","VEH","1DPI","M","Sham",0.504828497558246
"109",544,"HEMI","FMT","1DPI","M","Sham",1.92267377974983
"110",545,"HEMI","FMT","1DPI","M","Sham",0.502789330115049
"111",546,"WT","VEH","1DPI","M","TBI",0.085118458007723
"112",546,"WT","VEH","3DPI","M","TBI",0.964427104352171
"113",546,"WT","VEH","BA","M","TBI",1.97444369193915
"114",547,"WT","VEH","1DPI","M","TBI",0.767601210824766
"115",547,"WT","VEH","3DPI","M","TBI",0.843918427777874
"116",547,"WT","VEH","BA","M","TBI",2.36673960658848
"117",548,"WT","FMT","1DPI","M","TBI",1.91599391485151
"118",548,"WT","FMT","3DPI","M","TBI",1.2158562968743
"119",548,"WT","FMT","BA","M","TBI",2.24316498790496
"120",549,"WT","FMT","1DPI","M","TBI",0.752093321696507
"121",549,"WT","FMT","3DPI","M","TBI",1.37189217534698
"122",549,"WT","FMT","BA","M","TBI",1.9399633589104
"123",550,"WT","VEH","1DPI","F","Sham",1.32716937191118
"124",550,"WT","VEH","3DPI","F","Sham",1.25018797541468
"125",550,"WT","VEH","BA","F","Sham",2.28954640049342
"126",551,"WT","VEH","1DPI","F","Sham",1.9548528943958
"127",552,"WT","VEH","1DPI","F","Sham",0.578734766499655
"128",553,"WT","FMT","1DPI","F","Sham",0.523728828997494
"129",553,"WT","FMT","3DPI","F","Sham",1.60495506455438
"130",553,"WT","FMT","BA","F","Sham",2.1994035396263
"131",554,"WT","FMT","1DPI","F","Sham",2.02283455443257
"132",555,"HEMI","FMT","1DPI","F","Sham",0.737345047843198
"133",556,"HEMI","FMT","1DPI","F","Sham",0.620541083700432
"134",557,"HEMI","FMT","1DPI","F","Sham",0.773481000981761
"135",557,"HEMI","FMT","3DPI","F","Sham",1.51404817840858
"136",557,"HEMI","FMT","BA","F","Sham",2.94800330883348
"137",558,"WT","VEH","1DPI","M","Sham",1.65722914167858
