"","MouseID","Genotype","Treatment","Timepoint","Sex","Injury","chao1_unique"
"116",547,"WT","VEH","BA","M","TBI",65
"117",548,"WT","FMT","1DPI","M","TBI",28
"118",548,"WT","FMT","3DPI","M","TBI",38
"119",548,"WT","FMT","BA","M","TBI",31.5
"120",549,"WT","FMT","1DPI","M","TBI",14
"121",549,"WT","FMT","3DPI","M","TBI",55
"122",549,"WT","FMT","BA","M","TBI",59.1666666666667
"123",550,"WT","VEH","1DPI","F","Sham",24
"124",550,"WT","VEH","3DPI","F","Sham",7
"125",550,"WT","VEH","BA","F","Sham",78
"126",551,"WT","VEH","1DPI","F","Sham",11
"127",552,"WT","VEH","1DPI","F","Sham",4
"128",553,"WT","FMT","1DPI","F","Sham",2
"129",553,"WT","FMT","3DPI","F","Sham",63
"130",553,"WT","FMT","BA","F","Sham",59
"131",554,"WT","FMT","1DPI","F","Sham",52
"132",555,"HEMI","FMT","1DPI","F","Sham",17
"133",556,"HEMI","FMT","1DPI","F","Sham",20
"134",557,"HEMI","FMT","1DPI","F","Sham",15
"135",557,"HEMI","FMT","3DPI","F","Sham",53
"136",557,"HEMI","FMT","BA","F","Sham",100.1
"137",558,"WT","VEH","1DPI","M","Sham",45.5
"138",559,"WT","VEH","1DPI","M","Sham",42
"139",560,"WT","FMT","1DPI","M","Sham",27
"140",560,"WT","FMT","3DPI","M","Sham",28
"141",560,"WT","FMT","BA","M","Sham",74
"142",561,"WT","FMT","1DPI","M","Sham",9
"143",562,"HEMI","FMT","1DPI","F","TBI",18
"144",562,"HEMI","FMT","3DPI","F","TBI",10
"145",562,"HEMI","FMT","BA","F","TBI",92
"146",563,"HEMI","FMT","1DPI","F","TBI",11
"147",563,"HEMI","FMT","3DPI","F","TBI",60
"148",563,"HEMI","FMT","BA","F","TBI",112
"149",564,"HEMI","VEH","1DPI","F","TBI",11
"150",565,"HEMI","VEH","1DPI","F","TBI",28
"151",566,"HEMI","FMT","1DPI","M","Sham",8
"152",567,"HEMI","FMT","1DPI","M","Sham",14
"153",568,"HEMI","VEH","1DPI","M","Sham",51
"154",569,"HEMI","VEH","1DPI","M","Sham",4
"155",570,"WT","FMT","1DPI","F","Sham",39
