	Villapol_527_3DPI	Villapol_528_3DPI	Villapol_529_3DPI	Villapol_533_3DPI	Villapol_535_3DPI	Villapol_538_3DPI	Villapol_539_3DPI	Villapol_540_3DPI	Villapol_541_3DPI	Villapol_546_3DPI	Villapol_547_3DPI	Villapol_548_3DPI	Villapol_549_3DPI	Villapol_550_3DPI	Villapol_553_3DPI	Villapol_557_3DPI	Villapol_560_3DPI	Villapol_562_3DPI	Villapol_563_3DPI	Villapol_587_3DPI	Villapol_589_3DPI	Villapol_592_3DPI	Villapol_593_3DPI	Villapol_597_3DPI	Villapol_606_3DPI	Villapol_612_3DPI	Villapol_614_3DPI	Villapol_616_3DPI	Villapol_618_3DPI	Villapol_619_3DPI	Villapol_620_3DPI	Villapol_621_3DPI	Villapol_622_3DPI	Villapol_623_3DPI	Villapol_624_3DPI	Villapol_625_3DPI	Villapol_626_3DPI	Villapol_627_3DPI	Villapol_628_3DPI	Villapol_629_3DPI	Villapol_630_3DPI	Villapol_631_3DPI	Villapol_632_3DPI	Villapol_633_3DPI	Villapol_634_3DPI	Villapol_635_3DPI	Villapol_636_3DPI	Villapol_637_3DPI
g__Bacillus_J_295379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bacillus_O_301684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bacillus_P_294101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bacteroides_H_857956	4599	17660	42431	15585	9016	29742	32374	6473	9066	17337	15228	9692	12268	0	24620	29058	33596	1058	22082	13280	38407	25501	39191	13226	18115	11345	10706	7001	40344	16855	19286	13001	4032	23623	15742	26066	24248	18688	10133	8163	3229	16232	7613	30578	29894	15080	8330	8757
g__Bifidobacterium_388775	0	15	163	0	32	8	90	14	5	32	0	0	15	0	10	6	25	0	6	0	125	12	0	0	55	6	164	0	0	87	0	0	0	0	0	94	112	48	4	0	0	6	0	0	0	0	0	0
g__Blautia_A_141780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1650	0	0	0	0	62	0	0	0	0
g__Borkfalkia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	14	0	0	0	0	39	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	59	0	0	0	23	20
g__Brachybacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Brevibacillus_D_362672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Brevibacillus_D_362705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
