"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Genotype"	1	0.160913570839961	0.0158174397731115	2.13752973771334	0.072
"Residual"	133	10.0122606689951	0.984182560226887	NA	NA
"Total"	134	10.1731742398351	1	NA	NA
