feature	c__Chloroplast Class	d__Bacteria Kingdom	f__Borkfalkiaceae Family	f__Christensenellaceae Family	f__Clostridiaceae_222000 Family	f__Coprobacillaceae Family	f__Eggerthellaceae Family	f__Lachnospiraceae Family	f__Muribaculaceae Family	f__Oscillospiraceae_88309 Family	f__Peptostreptococcaceae_256921 Family	g__1XD8-76	g__Acetatifactor	g__Acidovorax_F_589733	g__Acutalibacter	g__Adlercreutzia_A_404199	g__Adlercreutzia_A_404257	g__Adlercreutzia_A_404260	g__Akkermansia	g__Alistipes_A_871400	g__Anaerotruncus	g__Avispirillum	g__Bacteroides_H_857956	g__Bifidobacterium_388775	g__Borkfalkia	g__Brotaphodocola	g__Butyribacter	g__C-19	g__CAG-269	g__CAG-314	g__CAG-873	g__COE1	g__Choladousia	g__Clostridium_AQ	g__Clostridium_J	g__Clostridium_T	g__Comamonas_F_589250	g__Dorea_D_143701	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Emergencia	g__Enterenecus	g__Enterocloster	g__Enterococcus_B	g__Enterococcus_H_360604	g__Enterorhabdus	g__Eubacterium_F	g__Eubacterium_G_180878	g__Eubacterium_R	g__Faecalibaculum	g__Granulimonas	g__Hominilimicola	g__Hominisplanchenecus_A	g__Ileibacterium	g__Kineothrix	g__Lachnoclostridium_B	g__Lacrimispora	g__Lactobacillus	g__Laedolimicola	g__Lawsonibacter	g__Lepagella	g__Lientehia	g__Ligilactobacillus	g__Limosilactobacillus	g__MD308	g__Merdibacter	g__Mesorhizobium_I	g__NK4A144	g__Novosphingobium	g__Paraclostridium	g__Parasutterella_564865	g__Parvibacter	g__Pelethenecus	g__Petralouisia	g__Porcincola	g__Pseudomonas_E_647464	g__Romboutsia_B	g__Romboutsia_D_247318	g__Ruminococcus_B	g__Schaedlerella	g__Sporofaciens	g__Staphylococcus	g__Stenotrophomonas_A_615274	g__Streptococcus	g__Suilimivivens	g__Thomasclavelia	g__Turicibacter	g__UBA2730	g__UBA3282	g__UBA7173	g__UBA9414	g__UBA946	g__Ventrisoma	g__WRAF01	o__Christensenellales Order	o__Lachnospirales Order
Villapol_11_DPI_559	NA	NA	NA	NA	NA	NA	NA	0.000423944378497541	0.00296761064948279	NA	0.00288282177378328	NA	NA	NA	0.000296761064948279	0.00771578768865525	0.0182296082753943	NA	0.000423944378497541	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0010174665083941	NA	0.0133118534848228	0.00207732745463795	NA	NA	NA	NA	0.000805494319145328	NA	NA	0.0430303544175004	NA	NA	NA	NA	NA	NA	0.00216211633033746	0.000890283194844836	NA	NA	0.43110903849415	0.00487536035272172	0.000211972189248771	NA	NA	NA	NA	NA	NA	NA	NA	0.0030523995251823	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00169577751399016	NA	NA	NA	NA	0.00105986094624385	0.0374766830591826	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.424283534000339	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_560	NA	NA	NA	NA	NA	NA	NA	NA	0.0173102529960053	NA	NA	NA	NA	NA	NA	0.00441078561917443	0.0168109187749667	NA	0.0031624500665779	NA	NA	NA	NA	0.0197237017310253	NA	NA	NA	NA	NA	NA	0.0171438082556591	NA	NA	NA	NA	NA	0.000832223701731025	NA	0.130243009320905	0.0369507323568575	NA	NA	NA	NA	NA	NA	0.00282956058588549	NA	NA	NA	0.591711051930759	0.00066577896138482	NA	NA	NA	NA	NA	NA	0.13332223701731	NA	NA	0.00099866844207723	NA	NA	NA	0.00374500665778961	NA	NA	NA	NA	NA	0.00765645805592543	NA	NA	NA	NA	0.000832223701731025	0.00624167776298269	NA	NA	NA	NA	0.000249667110519308	NA	NA	NA	NA	0.00515978695073236	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_561	NA	NA	NA	NA	NA	NA	NA	NA	0.00610233140353622	NA	0.00242528555781568	NA	NA	NA	NA	NA	0.00136911281489595	NA	NA	NA	NA	NA	NA	0.00066499765294946	NA	NA	NA	NA	0.000117352526991081	NA	0.00856673447034893	NA	NA	NA	NA	NA	NA	NA	0.00985761226725082	0.0281254889688625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.362814895947426	NA	NA	NA	NA	NA	NA	NA	0.470700985761227	NA	NA	0.000547645125958379	NA	NA	NA	0.000625880143952433	NA	NA	NA	NA	NA	0.0052026286966046	NA	NA	7.82350179940541e-05	NA	NA	0.0512439367861055	NA	NA	NA	NA	0.000586762634955406	NA	NA	NA	NA	0.0509701142231263	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_562	NA	NA	NA	NA	NA	NA	NA	NA	0.00503315194175659	NA	NA	NA	NA	3.71450327804914e-05	NA	NA	0.00416024367141504	NA	0.000928625819512286	NA	NA	NA	0.000222870196682949	NA	NA	NA	NA	NA	NA	NA	0.00380736586000037	NA	NA	NA	NA	NA	0.000724328139219583	NA	0.000241442713073194	0.0198168749883922	NA	NA	NA	NA	NA	NA	NA	0.000111435098341474	NA	NA	0.00538602975317126	NA	NA	NA	NA	NA	NA	NA	0.749958211838122	NA	NA	0.00156009137678064	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00137436621287818	NA	NA	NA	NA	NA	0.000167152647512211	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.206470664710362	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_563	NA	NA	NA	NA	NA	NA	NA	0.00735343722593267	0.0274573298252715	0.00215880725898941	NA	0.000404776361060514	0.0209134453214599	NA	0.00303582270795386	NA	0.00114686635633812	0.00148417999055522	0.0174053835256021	0.16514875531269	0.000404776361060514	0.000404776361060514	0.0992376711866694	NA	0.000472239087903933	NA	0.00586925723537745	0.000337313634217095	0.00148417999055522	0.00168656817108548	0.0150441880860824	0.0124131417391891	NA	NA	NA	NA	NA	NA	NA	0.0769075086014977	0.00188895635161573	NA	0.00290089725426702	NA	NA	NA	NA	0.00263104634689334	0.00445253997166565	NA	NA	NA	NA	0.00067462726843419	NA	0.00128179181002496	0.000877015448964447	NA	0.47770356877825	0.000944478175807866	0.00101194090265129	0.00485731633272617	NA	NA	NA	0.00330567361532753	NA	NA	0.00067462726843419	NA	NA	NA	NA	0.007083586318559	0.00586925723537745	0.00917493085070499	NA	NA	NA	NA	0.00236119543951967	0.00209134453214599	NA	NA	NA	0.00121432908318154	NA	NA	NA	0.00688119813802874	NA	NA	0.00067462726843419	NA	0.000134925453686838	NA	NA
Villapol_11_DPI_564	NA	NA	NA	NA	0.000116918040453642	NA	NA	NA	0.0181222962703145	NA	0.0138742741338322	NA	NA	NA	NA	0.00475466697844811	0.00151993452589735	NA	0.0745937098094236	NA	NA	NA	0.000350754121360926	0.00459877625784325	NA	NA	NA	NA	NA	NA	0.0872988035387194	NA	NA	NA	NA	0.0249814879769282	NA	NA	0.000155890720604856	0.0213180560427141	NA	NA	NA	NA	NA	NA	0.00058459020226821	0.00038972680151214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000233836080907284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0226431271678553	NA	NA	NA	NA	NA	0.291944347012744	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.432518804318173	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_565	NA	NA	NA	NA	0.000121457489878543	NA	NA	NA	NA	NA	0.0292307692307692	NA	NA	0.000121457489878543	NA	NA	NA	NA	0.00417004048582996	0.000769230769230769	NA	NA	0.00048582995951417	NA	NA	NA	NA	NA	NA	NA	0.00263157894736842	NA	NA	NA	NA	0.0364372469635627	0.00295546558704453	NA	NA	0.00659919028340081	NA	NA	NA	NA	NA	0.000121457489878543	NA	NA	NA	NA	0.000566801619433198	NA	NA	NA	NA	NA	NA	NA	0.000323886639676113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00048582995951417	NA	0.000607287449392713	NA	NA	NA	NA	NA	0.435303643724696	NA	NA	NA	NA	NA	0.000242914979757085	NA	NA	NA	0.478825910931174	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_566	NA	NA	NA	NA	NA	NA	NA	0.0105510709972669	0.027140405517066	0.00375007945083582	NA	NA	0.0220555520244073	NA	0.00336871543888642	0.00114409203584822	0.000953410029873514	0.000953410029873514	0.000127121337316469	0.102459797877074	NA	NA	0.152736286785737	NA	0.00044492468060764	NA	0.0527553549863345	NA	NA	0.00292379075827878	0.0621623339477531	0.0227547193796479	0.000317803343291171	NA	NA	NA	NA	NA	0.0300006356066866	0.0226911587109896	0.00190682005974703	NA	0.000953410029873514	NA	NA	NA	NA	NA	0.00368651878217759	NA	NA	NA	NA	NA	NA	0.000508485349265874	NA	NA	0.30381999618636	NA	NA	0.00247886607767114	NA	NA	NA	0.000635606686582343	NA	NA	0.00235174474035467	NA	NA	NA	NA	0.00146189537913939	0.00330515477022818	NA	NA	0.00133477404182292	NA	NA	0.000508485349265874	0.00228818407169643	NA	NA	NA	0.000127121337316469	NA	0.14758787262442	NA	0.00305091209559525	NA	NA	NA	NA	0.000381364011949406	0.00139833471048115	NA
Villapol_11_DPI_567	NA	NA	NA	NA	NA	NA	NA	0.00095413973530317	0.00987996306555863	NA	0.00264696829793783	NA	NA	6.15574022776239e-05	NA	0.000831024930747922	0.000523237919359803	0.000461680517082179	0.00123114804555248	0.000430901815943367	NA	NA	0.00126192674669129	0.00200061557402278	NA	NA	0.000984918436441982	NA	NA	NA	0.00717143736534318	0.00200061557402278	NA	NA	NA	NA	0.00080024622960911	NA	0.150107725453986	0.0234225915666359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000584795321637427	NA	NA	NA	NA	NA	NA	0.0339796860572484	NA	9.23361034164358e-05	0.000831024930747922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000246229609110496	NA	NA	NA	0.037149892274546	NA	NA	NA	NA	0.000430901815943367	NA	NA	NA	NA	0.721483533394891	NA	0.000430901815943367	NA	NA	NA	NA	NA	NA	NA
Villapol_11_DPI_568	0.000303513164883527	NA	NA	NA	NA	0.000341452310493968	NA	0.00360421883299188	0.0271644282570756	0.000189695728052204	0.0177934592912968	NA	0.00231428788223689	7.58782912208817e-05	NA	0.00246604446467866	0.00865012519918051	0.000986417785871462	0.000189695728052204	0.000910539494650581	7.58782912208817e-05	NA	0.00110023522270278	0.00318688823127703	NA	NA	NA	NA	NA	NA	0.0136201532741483	0.0168070415054253	0.000227634873662645	NA	NA	0.000379391456104409	0.00155550497002807	NA	0.478184991273996	0.0434403217239548	NA	NA	NA	NA	NA	0.00273161848395174	0.000910539494650581	NA	0.000189695728052204	NA	NA	0.00834661203429699	0.000227634873662645	NA	NA	0.000151756582441763	NA	NA	NA	NA	0.00045526974732529	NA	NA	NA	NA	NA	NA	NA	0.000151756582441763	0.00045526974732529	NA	0.0167691023598149	NA	NA	0.0126716746338872	NA	0.00239016617345777	0.265611958418696	NA	NA	NA	0.00220047044540557	NA	0.000113817436831323	NA	NA	NA	0.061878746490629	NA	0.000910539494650581	NA	NA	NA	NA	NA	0.000265574019273086	NA
