feature	c__Bacilli_A Class	c__Chloroplast Class	d__Bacteria Kingdom	f__Coprobacillaceae Family	f__Mitochondria Family	f__Oscillospiraceae_88309 Family	f__Paenibacillaceae_367444 Family	f__Peptostreptococcaceae_256921 Family	f__Tissierellaceae Family	f__UBA1242 Family	g__Acidovorax_F_589733	g__Adlercreutzia_A_404257	g__Agrobacterium	g__Akkermansia	g__Alistipes_A_871400	g__Alkaliphilus_B	g__Anaerocolumna	g__Anaerosalibacter	g__Anaerosporobacter	g__Aneurinibacillus_B_362085	g__Arthrobacter_E_386002	g__Bacillus_A	g__Bacillus_P_294101	g__Bacteroides_H_857956	g__Borkfalkia	g__Brachybacterium	g__Brevibacillus_D_362672	g__Brevibacterium	g__Burkholderia	g__C-19	g__CAG-314	g__CAG-873	g__Caldibacillus_B	g__Cellulosimicrobium	g__Cerasibacillus	g__Clostridioides_A	g__Clostridium_F	g__Clostridium_G	g__Clostridium_J	g__Clostridium_T	g__Comamonas_F_589250	g__Corynebacterium	g__Curtobacterium	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Enterococcus_H_360604	g__Faecalibaculum	g__Glutamicibacter	g__Granulimonas	g__JC017	g__Jeotgalibaca	g__Klebsiella_724518	g__Kroppenstedtia_A	g__Kurthia	g__Lacrimispora	g__Lacticaseibacillus	g__Lactiplantibacillus	g__Lactobacillus	g__Lactococcus_A_346120	g__Laedolimicola	g__Latilactobacillus	g__Lawsonibacter	g__Lepagella	g__Ligilactobacillus	g__Limosilactobacillus	g__Lysinibacillus_304693	g__Mammaliicoccus_319278	g__Merdibacter	g__Methylobacterium	g__Microbacterium_A_383321	g__Novosphingobium	g__Oceanobacillus_287537	g__Paenibacillus_A	g__Paenibacillus_J_366884	g__Paenibacillus_L	g__Pandoraea	g__Pantoea_680069	g__Paraclostridium	g__Paramuribaculum	g__Parasutterella_564865	g__Plantibacter	g__Porcincola	g__Pseudomonas_E_647464	g__Romboutsia_B	g__Romboutsia_D_247318	g__Rudaeicoccus	g__Ruminiclostridium_D	g__Rummeliibacillus	g__Schaedlerella	g__Siminovitchia	g__Sporosarcina	g__Staphylococcus	g__Stenotrophomonas_A_615274	g__Streptococcus	g__Terrisporobacter	g__Thermoactinomyces_A	g__Tissierella_B_223997	g__Turicibacter	g__Ureibacillus	g__Vagococcus_B	g__Weissella	o__Lachnospirales Order
Villapol_539_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.678352906012405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.7590039079622	NA	NA	NA	NA	NA	-1.51270865444588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.34961297182452	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_540_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.65811991504265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.14525285895521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.9435221339049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.3585596331837	NA	-11.9435221339049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.876760201517994	NA	NA	NA	NA	-11.9435221339049	NA	NA	NA	NA
Villapol_541_1DPI	-13.9440714530031	-11.359108952282	NA	NA	-13.359108952282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.44759212603227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.46126349627646	-8.55175403022437	NA	NA	-11.6221433581158	NA	-13.9440714530031	NA	NA	NA	NA	NA	-11.4846398343658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.6961439395595	NA	NA	NA	NA	NA	-5.42443520015992	NA	-13.359108952282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.5517540302244	-0.960187160838478	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_542_1DPI	NA	-10.097144719786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0601051527583571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.49142365889805	-10.4112533102141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.2987785809557	NA	NA	NA	NA	NA	NA	NA	NA	-10.9768504860683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.9768504860683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.1612750572057	-6.23053771964283	NA	NA	NA	NA	-9.24566724449609	NA	NA	NA	NA
Villapol_543_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.192816951430617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.7951602482642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.2359775612556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_544_1DPI	NA	-4.24597087429979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.1101570189541	NA	NA	-5.34860578650959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.7882289240667	-10.7882289240667	NA	NA	-2.81094900056679	-5.47353239841042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.40971730081297	NA	NA	NA	NA	NA	-10.1101570189541	NA	NA	-7.75260501433598	NA	NA	NA	NA	NA	NA	-11.1101570189541	NA	-8.52519451823291	NA	NA	NA	-10.3028020968965	NA	NA	NA	-7.58659506289705	NA	NA	NA	NA	NA	NA	NA	-6.70076608281636	-0.902837592496262	NA	NA	NA	NA	-2.39591150128794	NA	NA	NA	NA
Villapol_545_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.186988675415333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.82191174042005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.2975755986504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_546_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.35708066400701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0188218105512271	-11.1644355860646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.84250749117725	NA	NA	NA	NA	NA	NA	NA	-10.5794730853435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.46399586792352	NA	NA	NA	NA
Villapol_547_1DPI	NA	-9.17762716482141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.34157680976334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.7625896655426	NA	NA	-0.410270310695728	-6.09016432357107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.1776271648214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.68577406849174	NA	NA	NA	NA	NA	NA	NA	-7.76258966554257	-10.7625896655426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.87994661618073	NA	NA	NA	NA
Villapol_548_1DPI	NA	-6.51716890996384	NA	NA	NA	NA	NA	NA	NA	NA	-10.8148494586045	NA	NA	-11.3998119593257	NA	NA	NA	NA	NA	-8.94038034068839	NA	NA	-10.8148494586045	-3.35268804721166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.44561564893881	NA	NA	-6.29128750254752	NA	NA	-1.18427895958003	-1.87821151960196	NA	NA	-9.81484945860453	NA	-9.07788386443832	NA	NA	NA	NA	NA	-5.72738661735419	-11.3998119593257	NA	NA	NA	NA	NA	-10.8148494586045	NA	NA	NA	NA	NA	-9.59245703726808	NA	NA	NA	NA	-4.45144472774101	NA	NA	NA	-5.45729745398644	NA	NA	NA	-9.59245703726808	NA	NA	NA	NA	NA	NA	NA	-4.28087088660218	-10.8148494586045	NA	NA	NA	NA	-6.4690746217628	NA	NA	NA	NA
