"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"g__Turicibacter"	"Sex"	"F"	"SexF"	2.95747793501935	0	0.755302417533352	9.01718420658582e-05	0.0132552607836811	0.000180335553170615	0.0142465087004786	NA	"prevalence"	48	23
"g__Turicibacter"	"Sex"	"F"	"SexF"	1.66441731643725	-0.241182201688825	2.10850262586643	0.332512658443981	0.763740012363518	0.000180335553170615	0.0142465087004786	NA	"abundance"	48	23
