feature	c__Bacilli_A Class	c__Chloroplast Class	d__Bacteria Kingdom	f__Coprobacillaceae Family	f__Mitochondria Family	f__Oscillospiraceae_88309 Family	f__Paenibacillaceae_367444 Family	f__Peptostreptococcaceae_256921 Family	f__Tissierellaceae Family	f__UBA1242 Family	g__Acidovorax_F_589733	g__Adlercreutzia_A_404257	g__Agrobacterium	g__Akkermansia	g__Alistipes_A_871400	g__Alkaliphilus_B	g__Anaerocolumna	g__Anaerosalibacter	g__Anaerosporobacter	g__Aneurinibacillus_B_362085	g__Arthrobacter_E_386002	g__Bacillus_A	g__Bacillus_P_294101	g__Bacteroides_H_857956	g__Borkfalkia	g__Brachybacterium	g__Brevibacillus_D_362672	g__Brevibacterium	g__Burkholderia	g__C-19	g__CAG-314	g__CAG-873	g__Caldibacillus_B	g__Cellulosimicrobium	g__Cerasibacillus	g__Clostridioides_A	g__Clostridium_F	g__Clostridium_G	g__Clostridium_J	g__Clostridium_T	g__Comamonas_F_589250	g__Corynebacterium	g__Curtobacterium	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Enterococcus_H_360604	g__Faecalibaculum	g__Glutamicibacter	g__Granulimonas	g__JC017	g__Jeotgalibaca	g__Klebsiella_724518	g__Kroppenstedtia_A	g__Kurthia	g__Lacrimispora	g__Lacticaseibacillus	g__Lactiplantibacillus	g__Lactobacillus	g__Lactococcus_A_346120	g__Laedolimicola	g__Latilactobacillus	g__Lawsonibacter	g__Lepagella	g__Ligilactobacillus	g__Limosilactobacillus	g__Lysinibacillus_304693	g__Mammaliicoccus_319278	g__Merdibacter	g__Methylobacterium	g__Microbacterium_A_383321	g__Novosphingobium	g__Oceanobacillus_287537	g__Paenibacillus_A	g__Paenibacillus_J_366884	g__Paenibacillus_L	g__Pandoraea	g__Pantoea_680069	g__Paraclostridium	g__Paramuribaculum	g__Parasutterella_564865	g__Plantibacter	g__Porcincola	g__Pseudomonas_E_647464	g__Romboutsia_B	g__Romboutsia_D_247318	g__Rudaeicoccus	g__Ruminiclostridium_D	g__Rummeliibacillus	g__Schaedlerella	g__Siminovitchia	g__Sporosarcina	g__Staphylococcus	g__Stenotrophomonas_A_615274	g__Streptococcus	g__Terrisporobacter	g__Thermoactinomyces_A	g__Tissierella_B_223997	g__Turicibacter	g__Ureibacillus	g__Vagococcus_B	g__Weissella	o__Lachnospirales Order
Villapol_537_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00135273888879834	NA	NA	NA	3.25961178023697e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.876395521293414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0450967289795785	NA	NA	NA	NA	NA	0.0414622618446143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.25961178023697e-05	0.0355460664634842	NA	NA	NA	NA	8.14902945059243e-05	NA	NA	NA	NA
Villapol_538_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.632444861148317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000156263952138584	NA	NA	NA	NA	NA	0.367354228056076	NA	NA	NA	NA	NA	4.46468434681668e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_539_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.624878277491254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000144263714069319	NA	NA	NA	NA	NA	0.350452627402893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0245248313917842	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_540_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0024754046334497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4521104411298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000126943827356395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000190415741034592	NA	0.00025388765471279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.544589019358934	NA	NA	NA	NA	0.00025388765471279	NA	NA	NA	NA
Villapol_541_1DPI	6.34477507772349e-05	0.00038068650466341	NA	NA	9.51716261658524e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.366632827866252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0907937313622232	0.00266480553264387	NA	NA	0.000317238753886175	NA	6.34477507772349e-05	NA	NA	NA	NA	NA	0.000348962629274792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000602753632383732	NA	NA	NA	NA	NA	0.0232853245352452	NA	9.51716261658524e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000666201383160967	0.51399022904638	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_542_1DPI	NA	0.000912970129999008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.959194204624392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0222288379478019	0.000734345539347028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.92358836955443e-05	NA	NA	NA	NA	NA	NA	NA	NA	0.000496179418477722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000496179418477722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00087327577652079	0.013317455591942	NA	NA	NA	NA	0.00164731566934604	NA	NA	NA	NA
Villapol_543_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.874895764288311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0720348949090209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0530693408026684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_544_1DPI	NA	0.0527030083691473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000113096584483149	NA	NA	0.0245419588328432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00113096584483149	0.000565482922415743	NA	NA	0.142501696448767	0.0225062203121466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00588102239312373	NA	NA	NA	NA	NA	0.000904772675865189	NA	NA	0.00463695996380909	NA	NA	NA	NA	NA	NA	0.000452386337932594	NA	0.00271431802759557	NA	NA	NA	0.00079167609138204	NA	NA	NA	0.00520244288622484	NA	NA	NA	NA	NA	NA	NA	0.00961320968106763	0.53483374802081	NA	NA	NA	NA	0.19000226193169	NA	NA	NA	NA
Villapol_545_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.878437363596683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0707114797031864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0508511567001309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_546_1DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00609955342555277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9870384489707	0.000435682387539484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00435682387539484	NA	NA	NA	NA	NA	NA	NA	0.000653523581309226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00141596775950332	NA	NA	NA	NA
Villapol_547_1DPI	NA	0.00172686717513311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.197294574758958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000287811195855519	NA	NA	0.752482371564254	0.0146783709886315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000431716793783278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0194272557202475	NA	NA	NA	NA	NA	NA	NA	0.0046049791336883	0.000575622391711038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0084904302777378	NA	NA	NA	NA
Villapol_548_1DPI	NA	0.0109178386380459	NA	NA	NA	NA	NA	NA	NA	NA	0.000555144337527757	NA	NA	0.000370096225018505	NA	NA	NA	NA	NA	0.00203552923760178	NA	NA	0.000555144337527757	0.0978904515173945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00573649148778682	NA	NA	0.0127683197631384	NA	NA	0.440044411547002	0.272020725388601	NA	NA	0.00111028867505551	NA	0.00185048112509252	NA	NA	NA	NA	NA	0.0188749074759437	0.000370096225018505	NA	NA	NA	NA	NA	0.000555144337527757	NA	NA	NA	NA	NA	0.00129533678756477	NA	NA	NA	NA	0.0457068837897853	NA	NA	NA	0.022760917838638	NA	NA	NA	0.00129533678756477	NA	NA	NA	NA	NA	NA	NA	0.0514433752775722	0.000555144337527757	NA	NA	NA	NA	0.0112879348630644	NA	NA	NA	NA
Villapol_549_1DPI	NA	0.00144274909281686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.754863813229572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000306037686355091	NA	NA	0.199930048528833	0.0125038254710794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000612075372710182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0303414506186333	NA	NA	NA	NA
Villapol_550_1DPI	NA	0.0405780989438577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00277932184546971	NA	NA	NA	0.0347415230683713	NA	NA	NA	0.00111172873818788	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00111172873818788	NA	0.000833796553640912	NA	NA	NA	NA	NA	NA	0.635352973874375	0.0300166759310728	NA	NA	NA	0.000555864369093941	NA	NA	NA	NA	0.00166759310728182	NA	0.0127848804891606	NA	NA	NA	NA	NA	0.00194552529182879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00305725403001668	NA	0.00166759310728182	NA	NA	NA	NA	NA	0.00917176209005003	NA	NA	NA	NA	0.00305725403001668	0.218732629238466	NA	NA	NA	NA
